user_id,last_purchase_time,survey_end_time,hours_since_last_purchase,days_since_last_purchase,user_rank,total_users,rank_rate,churn_type
21226209,2014-11-18 00:00:00,2014-12-18 23:00:00,743.0,30.0,1,8886,0.00011253657438667567,流失用户
56790163,2014-11-18 00:00:00,2014-12-18 23:00:00,743.0,30.0,2,8886,0.00022507314877335134,流失用户
30805076,2014-11-18 01:00:00,2014-12-18 23:00:00,742.0,30.0,3,8886,0.00033760972316002703,流失用户
116259421,2014-11-18 02:00:00,2014-12-18 23:00:00,741.0,30.0,4,8886,0.00045014629754670267,流失用户
85947802,2014-11-18 07:00:00,2014-12-18 23:00:00,736.0,30.0,5,8886,0.0005626828719333784,流失用户
86985041,2014-11-18 10:00:00,2014-12-18 23:00:00,733.0,30.0,6,8886,0.0006752194463200541,流失用户
17785981,2014-11-18 11:00:00,2014-12-18 23:00:00,732.0,30.0,7,8886,0.0007877560207067297,流失用户
59138148,2014-11-18 11:00:00,2014-12-18 23:00:00,732.0,30.0,8,8886,0.0009002925950934053,流失用户
95302160,2014-11-18 11:00:00,2014-12-18 23:00:00,732.0,30.0,9,8886,0.001012829169480081,流失用户
112485959,2014-11-18 11:00:00,2014-12-18 23:00:00,732.0,30.0,10,8886,0.0011253657438667567,流失用户
139199517,2014-11-18 11:00:00,2014-12-18 23:00:00,732.0,30.0,11,8886,0.0012379023182534324,流失用户
141878326,2014-11-18 11:00:00,2014-12-18 23:00:00,732.0,30.0,12,8886,0.0013504388926401081,流失用户
98621566,2014-11-18 12:00:00,2014-12-18 23:00:00,731.0,30.0,13,8886,0.0014629754670267836,流失用户
21754104,2014-11-18 13:00:00,2014-12-18 23:00:00,730.0,30.0,14,8886,0.0015755120414134593,流失用户
45149630,2014-11-18 13:00:00,2014-12-18 23:00:00,730.0,30.0,15,8886,0.001688048615800135,流失用户
119112558,2014-11-18 13:00:00,2014-12-18 23:00:00,730.0,30.0,16,8886,0.0018005851901868107,流失用户
47763414,2014-11-18 14:00:00,2014-12-18 23:00:00,729.0,30.0,17,8886,0.0019131217645734864,流失用户
71238931,2014-11-18 14:00:00,2014-12-18 23:00:00,729.0,30.0,18,8886,0.002025658338960162,流失用户
