user_id,last_purchase_time,survey_end_time,hours_since_last_purchase,days_since_last_purchase
56960895,"2014-11-18 21:00:00","2014-12-18 23:00:00",722,30
45149630,"2014-11-18 13:00:00","2014-12-18 23:00:00",730,30
112819908,"2014-11-18 14:00:00","2014-12-18 23:00:00",729,30
49598175,"2014-11-18 18:00:00","2014-12-18 23:00:00",725,30
44048864,"2014-11-18 22:00:00","2014-12-18 23:00:00",721,30
122694692,"2014-11-18 23:00:00","2014-12-18 23:00:00",720,30
86985041,"2014-11-18 10:00:00","2014-12-18 23:00:00",733,30
6596569,"2014-11-18 21:00:00","2014-12-18 23:00:00",722,30
59138148,"2014-11-18 11:00:00","2014-12-18 23:00:00",732,30
56790163,"2014-11-18 00:00:00","2014-12-18 23:00:00",743,30
113445602,"2014-11-18 14:00:00","2014-12-18 23:00:00",729,30
47763414,"2014-11-18 14:00:00","2014-12-18 23:00:00",729,30
104639948,"2014-11-18 20:00:00","2014-12-18 23:00:00",723,30
98621566,"2014-11-18 12:00:00","2014-12-18 23:00:00",731,30
139199517,"2014-11-18 11:00:00","2014-12-18 23:00:00",732,30
36164872,"2014-11-18 18:00:00","2014-12-18 23:00:00",725,30
134020041,"2014-11-18 16:00:00","2014-12-18 23:00:00",727,30
71238931,"2014-11-18 14:00:00","2014-12-18 23:00:00",729,30
117489231,"2014-11-18 15:00:00","2014-12-18 23:00:00",728,30
116259421,"2014-11-18 02:00:00","2014-12-18 23:00:00",741,30
17785981,"2014-11-18 11:00:00","2014-12-18 23:00:00",732,30
28160359,"2014-11-18 19:00:00","2014-12-18 23:00:00",724,30
122876959,"2014-11-18 19:00:00","2014-12-18 23:00:00",724,30
125817021,"2014-11-18 18:00:00","2014-12-18 23:00:00",725,30
112485959,"2014-11-18 11:00:00","2014-12-18 23:00:00",732,30
139544053,"2014-11-18 21:00:00","2014-12-18 23:00:00",722,30
95302160,"2014-11-18 11:00:00","2014-12-18 23:00:00",732,30
10797721,"2014-11-18 21:00:00","2014-12-18 23:00:00",722,30
85947802,"2014-11-18 07:00:00","2014-12-18 23:00:00",736,30
61454609,"2014-11-18 19:00:00","2014-12-18 23:00:00",724,30
95937118,"2014-11-18 14:00:00","2014-12-18 23:00:00",729,30
45542148,"2014-11-18 23:00:00","2014-12-18 23:00:00",720,30
79614874,"2014-11-18 20:00:00","2014-12-18 23:00:00",723,30
141878326,"2014-11-18 11:00:00","2014-12-18 23:00:00",732,30
119112558,"2014-11-18 13:00:00","2014-12-18 23:00:00",730,30
130457432,"2014-11-18 18:00:00","2014-12-18 23:00:00",725,30
30805076,"2014-11-18 01:00:00","2014-12-18 23:00:00",742,30
141792132,"2014-11-18 14:00:00","2014-12-18 23:00:00",729,30
21754104,"2014-11-18 13:00:00","2014-12-18 23:00:00",730,30
21226209,"2014-11-18 00:00:00","2014-12-18 23:00:00",743,30
10131505,"2014-11-19 21:00:00","2014-12-18 23:00:00",698,29
114650712,"2014-11-19 17:00:00","2014-12-18 23:00:00",702,29
134060411,"2014-11-19 20:00:00","2014-12-18 23:00:00",699,29
130573524,"2014-11-19 16:00:00","2014-12-18 23:00:00",703,29
131554806,"2014-11-19 18:00:00","2014-12-18 23:00:00",701,29
35644209,"2014-11-19 18:00:00","2014-12-18 23:00:00",701,29
120613535,"2014-11-19 14:00:00","2014-12-18 23:00:00",705,29
83425764,"2014-11-19 15:00:00","2014-12-18 23:00:00",704,29
99641114,"2014-11-19 20:00:00","2014-12-18 23:00:00",699,29
97154652,"2014-11-19 20:00:00","2014-12-18 23:00:00",699,29
37951207,"2014-11-19 23:00:00","2014-12-18 23:00:00",696,29
125225379,"2014-11-19 08:00:00","2014-12-18 23:00:00",711,29
31723437,"2014-11-19 22:00:00","2014-12-18 23:00:00",697,29
90333804,"2014-11-19 14:00:00","2014-12-18 23:00:00",705,29
25456026,"2014-11-19 11:00:00","2014-12-18 23:00:00",708,29
48862784,"2014-11-19 13:00:00","2014-12-18 23:00:00",706,29
90805328,"2014-11-19 12:00:00","2014-12-18 23:00:00",707,29
139808909,"2014-11-19 21:00:00","2014-12-18 23:00:00",698,29
23482875,"2014-11-19 09:00:00","2014-12-18 23:00:00",710,29
83469580,"2014-11-19 18:00:00","2014-12-18 23:00:00",701,29
100039408,"2014-11-19 19:00:00","2014-12-18 23:00:00",700,29
106998000,"2014-11-19 15:00:00","2014-12-18 23:00:00",704,29
100745953,"2014-11-19 18:00:00","2014-12-18 23:00:00",701,29
49285159,"2014-11-19 10:00:00","2014-12-18 23:00:00",709,29
77031104,"2014-11-19 20:00:00","2014-12-18 23:00:00",699,29
113905943,"2014-11-19 00:00:00","2014-12-18 23:00:00",719,29
44433489,"2014-11-19 10:00:00","2014-12-18 23:00:00",709,29
52046180,"2014-11-19 10:00:00","2014-12-18 23:00:00",709,29
98578505,"2014-11-19 14:00:00","2014-12-18 23:00:00",705,29
133968486,"2014-11-19 13:00:00","2014-12-18 23:00:00",706,29
77845023,"2014-11-19 13:00:00","2014-12-18 23:00:00",706,29
88603547,"2014-11-19 13:00:00","2014-12-18 23:00:00",706,29
59480165,"2014-11-19 20:00:00","2014-12-18 23:00:00",699,29
117221482,"2014-11-19 12:00:00","2014-12-18 23:00:00",707,29
54554843,"2014-11-19 13:00:00","2014-12-18 23:00:00",706,29
141870015,"2014-11-19 12:00:00","2014-12-18 23:00:00",707,29
110532180,"2014-11-19 17:00:00","2014-12-18 23:00:00",702,29
