event_time,user_id,num_behavior_type,user_rank
"2014-11-18 00:00:00",814199,263,1
"2014-11-18 00:00:00",130270245,250,2
"2014-11-18 00:00:00",34424883,219,3
"2014-11-18 00:00:00",46023224,159,4
"2014-11-18 00:00:00",40459733,152,5
"2014-11-18 01:00:00",5938241,166,1
"2014-11-18 01:00:00",3318666,159,2
"2014-11-18 01:00:00",121306092,143,3
"2014-11-18 01:00:00",46023224,142,4
"2014-11-18 01:00:00",7234861,129,5
"2014-11-18 02:00:00",121306092,214,1
"2014-11-18 02:00:00",5938241,200,2
"2014-11-18 02:00:00",7234861,166,3
"2014-11-18 02:00:00",60032762,162,4
"2014-11-18 02:00:00",47293396,158,5
"2014-11-18 03:00:00",34305614,219,1
"2014-11-18 03:00:00",77339861,179,2
"2014-11-18 03:00:00",60032762,178,3
"2014-11-18 03:00:00",76253363,169,4
"2014-11-18 03:00:00",39454183,167,5
"2014-11-18 04:00:00",77339861,275,1
"2014-11-18 04:00:00",130289104,198,2
"2014-11-18 04:00:00",34305614,162,3
"2014-11-18 04:00:00",131472598,136,4
"2014-11-18 04:00:00",30955749,119,5
"2014-11-18 05:00:00",77339861,371,1
"2014-11-18 05:00:00",79587494,125,2
"2014-11-18 05:00:00",89428650,118,3
"2014-11-18 05:00:00",64675604,116,4
"2014-11-18 05:00:00",38839327,90,5
"2014-11-18 06:00:00",77339861,208,1
"2014-11-18 06:00:00",89258714,127,2
"2014-11-18 06:00:00",24219008,90,3
"2014-11-18 06:00:00",34424883,84,4
"2014-11-18 06:00:00",12892503,83,5
"2014-11-18 07:00:00",25509021,213,1
"2014-11-18 07:00:00",5938241,151,2
"2014-11-18 07:00:00",51926941,125,3
"2014-11-18 07:00:00",102930156,121,4
"2014-11-18 07:00:00",48677702,111,5
"2014-11-18 08:00:00",131573117,173,1
"2014-11-18 08:00:00",27840504,134,2
"2014-11-18 08:00:00",78888823,113,3
"2014-11-18 08:00:00",30933630,110,4
"2014-11-18 08:00:00",114352631,110,5
"2014-11-18 09:00:00",5694160,316,1
"2014-11-18 09:00:00",116049086,246,2
"2014-11-18 09:00:00",45473276,190,3
"2014-11-18 09:00:00",87658501,169,4
"2014-11-18 09:00:00",53080199,136,5
"2014-11-18 10:00:00",5694160,262,1
"2014-11-18 10:00:00",59511789,164,2
"2014-11-18 10:00:00",126784328,153,3
"2014-11-18 10:00:00",41745316,135,4
"2014-11-18 10:00:00",77258315,115,5
"2014-11-18 11:00:00",107209058,193,1
"2014-11-18 11:00:00",59511789,186,2
"2014-11-18 11:00:00",90331505,173,3
"2014-11-18 11:00:00",36525698,148,4
"2014-11-18 11:00:00",141878326,148,5
"2014-11-18 12:00:00",7234861,207,1
"2014-11-18 12:00:00",113283932,167,2
"2014-11-18 12:00:00",138100684,145,3
"2014-11-18 12:00:00",48677702,141,4
"2014-11-18 12:00:00",90331505,134,5
"2014-11-18 13:00:00",130270245,501,1
"2014-11-18 13:00:00",13684026,191,2
"2014-11-18 13:00:00",27141122,156,3
"2014-11-18 13:00:00",36525698,155,4
"2014-11-18 13:00:00",25509021,133,5
"2014-11-18 14:00:00",130270245,452,1
"2014-11-18 14:00:00",113283932,397,2
"2014-11-18 14:00:00",36525698,250,3
"2014-11-18 14:00:00",475826,192,4
"2014-11-18 14:00:00",93479181,184,5
"2014-11-18 15:00:00",36525698,315,1
"2014-11-18 15:00:00",130270245,198,2
"2014-11-18 15:00:00",26720422,194,3
"2014-11-18 15:00:00",89428650,173,4
"2014-11-18 15:00:00",19282406,157,5
"2014-11-18 16:00:00",36525698,320,1
"2014-11-18 16:00:00",130270245,284,2
"2014-11-18 16:00:00",42966250,161,3
"2014-11-18 16:00:00",42049337,137,4
"2014-11-18 16:00:00",21978171,133,5
"2014-11-18 17:00:00",130270245,402,1
"2014-11-18 17:00:00",36525698,121,2
"2014-11-18 17:00:00",27850931,108,3
"2014-11-18 17:00:00",5624123,105,4
"2014-11-18 17:00:00",121000384,105,5
"2014-11-18 18:00:00",36525698,221,1
"2014-11-18 18:00:00",138735272,175,2
"2014-11-18 18:00:00",29245673,174,3
"2014-11-18 18:00:00",38839327,168,4
"2014-11-18 18:00:00",77374787,153,5
"2014-11-18 19:00:00",133888509,249,1
"2014-11-18 19:00:00",124614349,173,2
"2014-11-18 19:00:00",36525698,159,3
"2014-11-18 19:00:00",138387712,156,4
"2014-11-18 19:00:00",119653720,147,5
"2014-11-18 20:00:00",23367131,156,1
"2014-11-18 20:00:00",48793683,147,2
"2014-11-18 20:00:00",117184380,146,3
"2014-11-18 20:00:00",5315279,145,4
"2014-11-18 20:00:00",25509021,143,5
"2014-11-18 21:00:00",34553782,246,1
"2014-11-18 21:00:00",59511789,243,2
"2014-11-18 21:00:00",27850931,203,3
"2014-11-18 21:00:00",121306092,199,4
"2014-11-18 21:00:00",132203237,163,5
"2014-11-18 22:00:00",90035027,214,1
"2014-11-18 22:00:00",36233277,181,2
"2014-11-18 22:00:00",45649071,181,3
"2014-11-18 22:00:00",4725269,169,4
"2014-11-18 22:00:00",47874120,166,5
"2014-11-18 23:00:00",55192254,203,1
"2014-11-18 23:00:00",78329358,182,2
"2014-11-18 23:00:00",109280382,172,3
"2014-11-18 23:00:00",34424883,169,4
"2014-11-18 23:00:00",3694961,162,5
"2014-11-19 00:00:00",130270245,303,1
"2014-11-19 00:00:00",3694961,234,2
"2014-11-19 00:00:00",8886191,208,3
"2014-11-19 00:00:00",97389266,197,4
"2014-11-19 00:00:00",121632160,186,5
"2014-11-19 01:00:00",4364079,175,1
"2014-11-19 01:00:00",117659143,173,2
"2014-11-19 01:00:00",8886191,172,3
"2014-11-19 01:00:00",117026591,148,4
"2014-11-19 01:00:00",102477155,147,5
"2014-11-19 02:00:00",497764,165,1
"2014-11-19 02:00:00",6101177,142,2
"2014-11-19 02:00:00",17908580,138,3
"2014-11-19 02:00:00",5938241,120,4
"2014-11-19 02:00:00",107376559,112,5
"2014-11-19 03:00:00",103133076,159,1
"2014-11-19 03:00:00",56575580,111,2
"2014-11-19 03:00:00",41929479,103,3
"2014-11-19 03:00:00",65645933,98,4
"2014-11-19 03:00:00",69389641,93,5
"2014-11-19 04:00:00",36233277,277,1
"2014-11-19 04:00:00",65645933,157,2
"2014-11-19 04:00:00",121000384,110,3
"2014-11-19 04:00:00",81960712,107,4
"2014-11-19 04:00:00",130547450,101,5
"2014-11-19 05:00:00",94645713,128,1
"2014-11-19 05:00:00",116259421,123,2
"2014-11-19 05:00:00",2720721,113,3
"2014-11-19 05:00:00",47060411,112,4
"2014-11-19 05:00:00",106634442,104,5
"2014-11-19 06:00:00",81500257,152,1
"2014-11-19 06:00:00",5315279,140,2
"2014-11-19 06:00:00",96865786,108,3
"2014-11-19 06:00:00",106634442,103,4
"2014-11-19 06:00:00",117643320,103,5
"2014-11-19 07:00:00",16788720,212,1
"2014-11-19 07:00:00",43857558,175,2
"2014-11-19 07:00:00",21875488,165,3
"2014-11-19 07:00:00",11552428,138,4
"2014-11-19 07:00:00",65645933,119,5
"2014-11-19 08:00:00",134233776,161,1
"2014-11-19 08:00:00",90035027,160,2
"2014-11-19 08:00:00",19911284,157,3
"2014-11-19 08:00:00",24033530,142,4
"2014-11-19 08:00:00",56560718,140,5
"2014-11-19 09:00:00",17908580,203,1
"2014-11-19 09:00:00",97464808,194,2
"2014-11-19 09:00:00",10020755,161,3
"2014-11-19 09:00:00",89083541,147,4
"2014-11-19 09:00:00",139435539,141,5
"2014-11-19 10:00:00",89083541,196,1
"2014-11-19 10:00:00",89931825,177,2
"2014-11-19 10:00:00",102281568,170,3
"2014-11-19 10:00:00",97464808,169,4
"2014-11-19 10:00:00",133888509,162,5
"2014-11-19 11:00:00",113283932,175,1
"2014-11-19 11:00:00",4364079,164,2
"2014-11-19 11:00:00",93479181,147,3
"2014-11-19 11:00:00",115876596,133,4
"2014-11-19 11:00:00",133888509,132,5
"2014-11-19 12:00:00",113283932,416,1
"2014-11-19 12:00:00",22884828,322,2
"2014-11-19 12:00:00",137484826,233,3
"2014-11-19 12:00:00",59511789,211,4
"2014-11-19 12:00:00",20643274,126,5
"2014-11-19 13:00:00",113283932,429,1
"2014-11-19 13:00:00",98578505,173,2
"2014-11-19 13:00:00",121306092,162,3
"2014-11-19 13:00:00",115876596,157,4
"2014-11-19 13:00:00",137175187,157,5
"2014-11-19 14:00:00",74952849,236,1
"2014-11-19 14:00:00",55381200,229,2
"2014-11-19 14:00:00",26052997,201,3
"2014-11-19 14:00:00",75251738,196,4
"2014-11-19 14:00:00",11361547,155,5
"2014-11-19 15:00:00",11361547,204,1
"2014-11-19 15:00:00",26720422,149,2
"2014-11-19 15:00:00",19282406,141,3
"2014-11-19 15:00:00",85447850,123,4
"2014-11-19 15:00:00",11993970,113,5
"2014-11-19 16:00:00",23165095,189,1
"2014-11-19 16:00:00",115385050,152,2
"2014-11-19 16:00:00",23593325,147,3
"2014-11-19 16:00:00",7761295,146,4
"2014-11-19 16:00:00",36513563,138,5
"2014-11-19 17:00:00",66831202,149,1
"2014-11-19 17:00:00",65645933,144,2
"2014-11-19 17:00:00",37648682,120,3
"2014-11-19 17:00:00",4110672,118,4
"2014-11-19 17:00:00",137204928,115,5
"2014-11-19 18:00:00",98308778,181,1
"2014-11-19 18:00:00",59564210,157,2
"2014-11-19 18:00:00",137175187,145,3
"2014-11-19 18:00:00",85822276,138,4
"2014-11-19 18:00:00",131472598,138,5
"2014-11-19 19:00:00",139003263,283,1
"2014-11-19 19:00:00",34553782,260,2
"2014-11-19 19:00:00",100326985,205,3
"2014-11-19 19:00:00",13684026,204,4
"2014-11-19 19:00:00",98308778,179,5
"2014-11-19 20:00:00",33596774,280,1
"2014-11-19 20:00:00",137175187,249,2
"2014-11-19 20:00:00",117006290,216,3
"2014-11-19 20:00:00",125316855,200,4
"2014-11-19 20:00:00",77522552,190,5
"2014-11-19 21:00:00",71035154,292,1
"2014-11-19 21:00:00",4839961,245,2
"2014-11-19 21:00:00",73196588,205,3
"2014-11-19 21:00:00",125912657,199,4
"2014-11-19 21:00:00",21696214,169,5
"2014-11-19 22:00:00",71035154,330,1
"2014-11-19 22:00:00",116049086,241,2
"2014-11-19 22:00:00",117301497,240,3
"2014-11-19 22:00:00",73196588,185,4
"2014-11-19 22:00:00",59511789,167,5
"2014-11-19 23:00:00",53080199,189,1
"2014-11-19 23:00:00",71929773,188,2
"2014-11-19 23:00:00",71238931,179,3
"2014-11-19 23:00:00",61570016,176,4
"2014-11-19 23:00:00",98435498,167,5
"2014-11-20 00:00:00",62068426,194,1
"2014-11-20 00:00:00",72306639,178,2
"2014-11-20 00:00:00",139435539,162,3
"2014-11-20 00:00:00",122183715,161,4
"2014-11-20 00:00:00",130576689,156,5
"2014-11-20 01:00:00",43794910,229,1
"2014-11-20 01:00:00",37405144,194,2
"2014-11-20 01:00:00",59214580,159,3
